meses,meses_nombre,dias_num,year,dia,Temp_entrada,Temp_ZA,Humedad_entrada,Humedad_ZA
7,Julio,18,2016,Lunes,23,NA,48,NA
7,Julio,19,2016,Martes,23,NA,46,NA
7,Julio,20,2016,Miércoles,23,NA,48,NA
7,Julio,21,2016,Jueves,22,NA,51,NA
7,Julio,22,2016,Viernes,19,NA,53,NA
7,Julio,25,2016,Lunes,19,NA,53,NA
7,Julio,26,2016,Martes,20,NA,54,NA
7,Julio,27,2016,Miércoles,22,NA,46,NA
7,Julio,28,2016,Jueves,23,NA,47,NA
7,Julio,29,2016,Viernes,24,NA,51,NA
8,Agosto,1,2016,Lunes,24,NA,51,NA
8,Agosto,2,2016,Martes,23,NA,52,NA
8,Agosto,3,2016,Miércoles,23,NA,60,NA
8,Agosto,4,2016,Jueves,20,NA,51,NA
8,Agosto,5,2016,Viernes,23,NA,46,NA
8,Agosto,8,2016,Lunes,20,NA,41,NA
8,Agosto,9,2016,Martes,24,NA,45,NA
8,Agosto,10,2016,Miércoles,20,NA,48,NA
8,Agosto,11,2016,Jueves,21,NA,53,NA
8,Agosto,12,2016,Viernes,23,NA,53,NA
8,Agosto,15,2016,Lunes,23,NA,48,NA
8,Agosto,16,2016,Martes,22,NA,45,NA
8,Agosto,17,2016,Miércoles,21,NA,41,NA
8,Agosto,18,2016,Jueves,22,NA,41,NA
8,Agosto,19,2016,Viernes,20,NA,56,NA
8,Agosto,22,2016,Lunes,23,NA,44,NA
8,Agosto,23,2016,Martes,23,NA,45,NA
8,Agosto,24,2016,Miércoles,21,NA,44,NA
8,Agosto,25,2016,Jueves,20,NA,46,NA
8,Agosto,26,2016,Viernes,23,NA,45,NA
8,Agosto,29,2016,Lunes,20,NA,43,NA
8,Agosto,30,2016,Martes,20,NA,41,NA
8,Agosto,31,2016,Miércoles,22,NA,41,NA
9,Septiembre,1,2016,Jueves,22,NA,43,NA
9,Septiembre,2,2016,Viernes,21,NA,40,NA
9,Septiembre,5,2016,Lunes,20,NA,41,NA
9,Septiembre,6,2016,Martes,20,NA,45,NA
9,Septiembre,7,2016,Miércoles,22,NA,45,NA
9,Septiembre,8,2016,Jueves,22,NA,53,NA
9,Septiembre,9,2016,Viernes,21,NA,48,NA
9,Septiembre,12,2016,Lunes,21,NA,46,NA
9,Septiembre,13,2016,Martes,21,NA,53,NA
9,Septiembre,14,2016,Miércoles,22,NA,50,NA
9,Septiembre,15,2016,Jueves,22,NA,48,NA
9,Septiembre,16,2016,Viernes,22,NA,53,NA
9,Septiembre,19,2016,Lunes,20,NA,54,NA
9,Septiembre,20,2016,Martes,21,NA,48,NA
9,Septiembre,21,2016,Miércoles,21,NA,45,NA
9,Septiembre,22,2016,Jueves,23,NA,53,NA
9,Septiembre,23,2016,Viernes,22,NA,58,NA
9,Septiembre,26,2016,Lunes,22,NA,53,NA
9,Septiembre,27,2016,Martes,,NA,,NA
9,Septiembre,28,2016,Miércoles,,NA,,NA
9,Septiembre,29,2016,Jueves,,NA,,NA
9,Septiembre,30,2016,Viernes,22,NA,50,NA
10,Octubre,3,2016,Lunes,22,NA,48,NA
10,Octubre,4,2016,Martes,20,NA,51,NA
10,Octubre,5,2016,Miércoles,22,NA,51,NA
10,Octubre,6,2016,Jueves,21,NA,51,NA
10,Octubre,7,2016,Viernes,22,NA,53,NA
10,Octubre,10,2016,Lunes,22,NA,61,NA
10,Octubre,11,2016,Martes,21,NA,53,NA
10,Octubre,12,2016,Miércoles,20,NA,50,NA
10,Octubre,13,2016,Jueves,22,NA,51,NA
10,Octubre,14,2016,Viernes,18,NA,51,NA
10,Octubre,17,2016,Lunes,20,NA,48,NA
10,Octubre,18,2016,Martes,22,NA,61,NA
10,Octubre,19,2016,Miércoles,22,NA,60,NA
10,Octubre,20,2016,Jueves,22,NA,48,NA
10,Octubre,21,2016,Viernes,22,NA,46,NA
10,Octubre,24,2016,Lunes,22,NA,61,NA
10,Octubre,25,2016,Martes,22,NA,48,NA
10,Octubre,26,2016,Miércoles,22,NA,46,NA
10,Octubre,27,2016,Jueves,22,NA,48,NA
10,Octubre,28,2016,Viernes,22,NA,45,NA
10,Octubre,31,2016,Lunes,22,NA,58,NA
11,Noviembre,1,2016,Martes,22,NA,59,NA
11,Noviembre,2,2016,Miércoles,23,NA,41,NA
11,Noviembre,3,2016,Jueves,,NA,,NA
11,Noviembre,4,2016,Viernes,,NA,,NA
11,Noviembre,7,2016,Lunes,22,NA,61,NA
11,Noviembre,8,2016,Martes,22,NA,43,NA
11,Noviembre,9,2016,Miercoles,22,NA,40,NA
11,Noviembre,10,2016,Jueves,22,NA,43,NA
11,Noviembre,11,2016,Viernes,21,NA,50,NA
11,Noviembre,14,2016,Lunes,20,NA,53,NA
11,Noviembre,15,2016,Martes,22,NA,49,NA
11,Noviembre,16,2016,Miercoles,20,NA,48,NA
11,Noviembre,17,2016,Jueves,22,NA,51,NA
11,Noviembre,18,2016,Viernes,20,NA,46,NA
11,Noviembre,21,2016,Lunes,20,NA,48,NA
11,Noviembre,22,2016,Martes,22,NA,59,NA
11,Noviembre,23,2016,Miercoles,20,NA,43,NA
11,Noviembre,24,2016,Jueves,20,NA,40,NA
11,Noviembre,25,2016,Viernes,22,NA,45,NA
