Date,Fecha,Dia,Temperatura (entrada),Temperatura (zona ampliación),Humedad (entrada),Humedad (zona ampliación),Year,Monitoreo
176,3-Sep-12,Lunes,23,NA,34,NA,2012,
177,4-Sep-12,Martes,23,NA,34,NA,2012,
178,5-Sep-12,Miércoles,23,NA,35,NA,2012,
179,6-Sep-12,Jueves,,NA,,NA,2012,
180,7-Sep-12,Viernes,,NA,,NA,2012,
181,10-Sep-12,Lunes,23,NA,36,NA,2012,
182,11-Sep-12,Martes,23,NA,36,NA,2012,
183,12-Sep-12,Miércoles,23,NA,36,NA,2012,
184,13-Sep-12,Jueves,23,NA,36,NA,2012,
185,14-Sep-12,Viernes,23,NA,37,NA,2012,
186,17-Sep-12,Lunes,23,NA,33,NA,2012,
187,18-Sep-12,Martes,23,NA,35,NA,2012,
188,19-Sep-12,Miércoles,23,NA,35,NA,2012,
189,20-Sep-12,Jueves,23,NA,36,NA,2012,
190,21-Sep-12,Viernes,23,NA,37,NA,2012,
191,24-Sep-12,Lunes,23,NA,34,NA,2012,
192,25-Sep-12,Martes,23,NA,35,NA,2012,
193,26-Sep-12,Miércoles,23,NA,35,NA,2012,
194,27-Sep-12,Jueves,23,NA,35,NA,2012,
195,28-Sep-12,Viernes,23,NA,35,NA,2012,
196,1-Oct-12,Lunes,23,NA,35,NA,2012,
197,2-Oct-12,Martes,23,NA,35,NA,2012,
198,3-Oct-12,Miércoles,23,NA,35,NA,2012,
199,4-Oct-12,Jueves,23,NA,36,NA,2012,
200,5-Oct-12,Viernes,23,NA,36,NA,2012,
201,8-Oct-12,Lunes,23,NA,35,NA,2012,
202,9-Oct-12,Martes,23,NA,35,NA,2012,
203,10-Oct-12,Miércoles,23,NA,34,NA,2012,
204,11-Oct-12,Jueves,23,NA,34,NA,2012,
205,12-Oct-12,Viernes,,NA,,NA,2012,
206,15-Oct-12,Lunes,23,NA,35,NA,2012,
207,16-Oct-12,Martes,23,NA,34,NA,2012,
208,17-Oct-12,Miércoles,23,NA,34,NA,2012,
209,18-Oct-12,Jueves,23,NA,34,NA,2012,
210,19-Oct-12,Viernes,,NA,,NA,2012,
211,22-Oct-12,Lunes,23,NA,33,NA,2012,
212,23-Oct-12,Martes,23,NA,34,NA,2012,
213,24-Oct-12,Miércoles,23,NA,34,NA,2012,
214,25-Oct-12,Jueves,23,NA,34,NA,2012,
215,26-Oct-12,Viernes,23,NA,34,NA,2012,
216,29-Oct-12,Lunes,23,NA,33,NA,2012,
217,30-Oct-12,Martes,23,NA,34,NA,2012,
218,31-Oct-12,Miércoles,23,NA,36,NA,2012,
219,1-Nov-12,Jueves,23,NA,36,NA,2012,
220,2-Nov-12,Viernes,,NA,,NA,2012,
221,5-Nov-12,Lunes,23,NA,35,NA,2012,
222,6-Nov-12,Martes,23,NA,35,NA,2012,
223,7-Nov-12,Miércoles,23,NA,35,NA,2012,
224,8-Nov-12,Jueves,23,NA,34,NA,2012,
225,9-Nov-12,Viernes,23,NA,34,NA,2012,
226,12-Nov-12,Lunes,23,NA,34,NA,2012,
227,13-Nov-12,Martes,23,NA,35,NA,2012,
228,14-Nov-12,Miércoles,23,NA,35,NA,2012,
229,15-Nov-12,Jueves,23,NA,35,NA,2012,
230,16-Nov-12,Viernes,23,NA,36,NA,2012,
231,19-Nov-12,Lunes,23,NA,35,NA,2012,
232,20-Nov-12,Martes,23,NA,35,NA,2012,
233,21-Nov-12,Miércoles,23,NA,36,NA,2012,
234,22-Nov-12,Jueves,23,NA,35,NA,2012,
235,23-Nov-12,Viernes,23,NA,35,NA,2012,
236,26-Nov-12,Lunes,23,NA,35,NA,2012,
237,27-Nov-12,Martes,23,NA,35,NA,2012,
238,28-Nov-12,Miércoles,23,NA,35,NA,2012,
239,29-Nov-12,Jueves,23,NA,35,NA,2012,
240,30-Nov-12,Viernes,23,NA,36,NA,2012,
241,3-Dec-12,Lunes,23,NA,35,NA,2012,
242,4-Dec-12,Martes,23,NA,35,NA,2012,
243,5-Dec-12,Miércoles,23,NA,36,NA,2012,
244,6-Dec-12,Jueves,23,NA,36,NA,2012,
245,7-Dec-12,Viernes,23,NA,36,NA,2012,
246,10-Dec-12,Lunes,23,NA,35,NA,2012,
247,11-Dec-12,Martes,23,NA,36,NA,2012,
248,12-Dec-12,Miércoles,23,NA,34,NA,2012,
249,13-Dec-12,Jueves,23,NA,34,NA,2012,
250,14-Dec-12,Viernes,23,NA,35,NA,2012,
251,17-Dec-12,Lunes,26,NA,32,NA,2012,
252,18-Dec-12,Martes,23,NA,34,NA,2012,
253,19-Dec-12,Miércoles,23,NA,35,NA,2012,
254,20-Dec-12,Jueves,23,NA,35,NA,2012,
255,21-Dec-12,Viernes,23,NA,35,NA,2012,
256,24-Dec-12,Lunes,23,NA,,NA,2012,
257,25-Dec-12,Martes,23,NA,,NA,2012,
258,26-Dec-12,Miércoles,,NA,,NA,2012,
259,27-Dec-12,Jueves,,NA,,NA,2012,
260,28-Dec-12,Viernes,23,NA,35,NA,2012,
261,31-Dec-12,Lunes,23,NA,35,NA,2012,
262,1-Jan-13,Martes,,NA,,NA,2013,
263,2-Jan-13,Miércoles,,NA,,NA,2013,
264,3-Jan-13,Jueves,23,NA,36,NA,2013,
265,4-Jan-13,Viernes,23,NA,36,NA,2013,
266,7-Jan-13,Lunes,23,NA,37,NA,2013,
267,8-Jan-13,Martes,23,NA,38,NA,2013,
268,9-Jan-13,Miércoles,26,NA,36,NA,2013,
269,10-Jan-13,Jueves,23,NA,37,NA,2013,
270,11-Jan-13,Viernes,26,NA,35,NA,2013,
271,14-Jan-13,Lunes,23,NA,36,NA,2013,
272,15-Jan-13,Martes,19,NA,36,NA,2013,
273,16-Jan-13,Miércoles,23,NA,36,NA,2013,
274,17-Jan-13,Jueves,20,NA,35,NA,2013,
275,18-Jan-13,Viernes,22,NA,41,NA,2013,
276,21-Jan-13,Lunes,23,NA,41,NA,2013,
277,22-Jan-13,Martes,22,NA,41,NA,2013,
278,23-Jan-13,Miércoles,22,NA,44,NA,2013,
279,24-Jan-13,Jueves,22,NA,44,NA,2013,
280,25-Jan-13,Viernes,23,NA,43,NA,2013,
281,28-Jan-13,Lunes,26,NA,42,NA,2013,
282,29-Jan-13,Martes,26,NA,42,NA,2013,
283,30-Jan-13,Miércoles,26,NA,41,NA,2013,
284,31-Jan-13,Jueves,26,NA,39,NA,2013,
285,1-Feb-13,Viernes,22,NA,35,NA,2013,
286,4-Feb-13,Lunes,21,NA,42,NA,2013,
287,5-Feb-13,Martes,27,NA,38,NA,2013,
288,6-Feb-13,Miércoles,23,NA,42,NA,2013,
289,7-Feb-13,Jueves,23,NA,47,NA,2013,
290,8-Feb-13,Viernes,27,NA,40,NA,2013,
291,11-Feb-13,Lunes,,NA,,NA,2013,
292,12-Feb-13,Martes,,NA,,NA,2013,
293,13-Feb-13,Miércoles,18,NA,40,NA,2013,
294,14-Feb-13,Jueves,24,NA,40,NA,2013,
295,15-Feb-13,Viernes,25,NA,42,NA,2013,
296,18-Feb-13,Lunes,21,NA,48,NA,2013,
